## Complete genomes: Viruses (taxid 10239) filtered by host 'bacteria'
"Genome"	"Accession"	"Source information"	"Number of segments"	"Genome length"	"Number of proteins"	"Genome Neighbors"	"Host"	"Date completed"	"Date updated"
Staphylococcus virus 53	NC_007049	-	-	43883 nt	74	-	bacteria	05/23/2005	02/14/2015	
Staphylococcus virus 55	NC_007060	-	-	41902 nt	77	2	bacteria	05/23/2005	05/21/2007	
Staphylococcus virus 69	NC_007048	-	-	42732 nt	69	-	bacteria	05/23/2005	12/08/2008	
Staphylococcus virus 71	NC_007059	-	-	43114 nt	67	-	bacteria	05/23/2005	02/14/2015	
Staphylococcus virus 77	NC_005356	-	-	41708 nt	69	-	bacteria	01/23/2004	05/06/2009	
Staphylococcus virus 80	NC_030652	-	-	42140 nt	61	-	bacteria	07/19/2016	07/19/2016	
Staphylococcus virus 80alpha	NC_009526	-	-	43864 nt	73	-	bacteria	06/07/2007	02/04/2011	
Staphylococcus virus 85	NC_007050	-	-	44283 nt	71	-	bacteria	05/23/2005	02/14/2015	
Staphylococcus virus 88	NC_007063	-	-	43231 nt	66	-	bacteria	05/23/2005	02/14/2015	
Staphylococcus virus 92	NC_007064	-	-	42431 nt	64	-	bacteria	05/23/2005	02/14/2015	
Staphylococcus virus 96	NC_007057	-	-	43576 nt	74	-	bacteria	05/23/2005	02/14/2015	
Staphylococcus virus CNPH82	NC_008722	strain:CNPH82	-	43420 nt	65	-	bacteria	12/27/2006	10/05/2007	
Staphylococcus virus EW	NC_007056	-	-	45286 nt	77	-	bacteria	05/23/2005	05/21/2007	
Staphylococcus virus G1	NC_007066	-	-	138715 nt	214	13	bacteria	05/23/2005	04/17/2009	
Staphylococcus virus IPLA35	NC_011612	-	-	45344 nt	62	-	bacteria	12/01/2008	12/15/2009	
Staphylococcus virus IPLA5	NC_018281	-	-	43581 nt	66	-	bacteria	08/06/2012	08/17/2012	
Staphylococcus virus IPLA7	NC_018284	-	-	42123 nt	59	-	bacteria	08/06/2012	08/17/2012	
Staphylococcus virus IPLA88	NC_011614	-	-	42526 nt	60	-	bacteria	12/01/2008	12/15/2009	
Staphylococcus virus K	NC_005880	culture-collection:ATCC:19685-B1	-	148317 nt	233	-	bacteria	06/14/2004	06/18/2014	
Staphylococcus virus PH15	NC_008723	strain:PH15	-	44041 nt	68	-	bacteria	12/27/2006	10/05/2007	
Staphylococcus virus SA11	NC_019511	-	-	136326 nt	186	-	bacteria	11/21/2012	10/20/2015	
Staphylococcus virus SAP26	NC_014460	-	-	41207 nt	63	-	bacteria	08/25/2010	08/25/2010	
Staphylococcus virus Twort	NC_007021	-	-	130706 nt	195	-	bacteria	05/21/2005	04/17/2009	
Staphylococcus virus X2	NC_007065	-	-	43440 nt	77	-	bacteria	05/23/2005	12/08/2008	
Staphylococcus virus phi12	NC_004616	-	-	44970 nt	49	-	bacteria	03/18/2003	12/20/2007	
Staphylococcus virus phiETA	NC_003288	-	-	43081 nt	66	-	bacteria	07/04/2000	01/29/2009	
Staphylococcus virus phiETA2	NC_008798	strain:TY94	-	43265 nt	69	-	bacteria	01/17/2007	12/03/2008	
Staphylococcus virus phiETA3	NC_008799	strain:TY32	-	43282 nt	68	-	bacteria	01/17/2007	12/03/2008	
Staphylococcus virus phiMR11	NC_010147	-	-	43011 nt	67	-	bacteria	12/11/2007	12/03/2008	
Staphylococcus virus phiMR25	NC_010808	-	-	44342 nt	70	-	bacteria	06/05/2008	04/07/2010	
Staphylococcus virus phiNM2	NC_028913	-	-	43145 nt	66	-	bacteria	01/05/2016	01/06/2016	
Staphylococcus virus phiNM4	NC_028864	-	-	43189 nt	68	1	bacteria	01/05/2016	01/06/2016	
Staphylococcus virus phiSLT	NC_002661	-	-	42942 nt	61	-	bacteria	02/07/2001	02/10/2015	
Stenotrophomonas phage IME13	NC_029000	-	-	162327 nt	178	-	bacteria	01/05/2016	01/05/2016	
Stenotrophomonas phage IME15	NC_019416	isolate:IME15	-	38513 nt	45	-	bacteria	11/13/2012	11/21/2012	
Stenotrophomonas phage S1	NC_011589	-	-	40287 nt	48	-	bacteria	11/17/2008	03/26/2010	
Stenotrophomonas phage SMA7	NC_021569	-	-	7069 nt	10	-	bacteria	06/16/2013	11/06/2014	
Stenotrophomonas phage SMA9	NC_007189	-	-	6907 nt	7	-	bacteria	07/04/2005	12/20/2007	
Stenotrophomonas phage Smp131	NC_023588	-	-	33525 nt	46	-	bacteria	03/04/2014	03/04/2014	
Stenotrophomonas phage phiSHP2	NC_015586	-	-	5819 nt	9	-	bacteria	12/15/2011	12/15/2011	
Stenotrophomonas phage vB_SmaS-DLP_2	NC_029019	-	-	42593 nt	58	1	bacteria	01/05/2016	01/05/2016	
Streptococcus phage 20617	NC_023503	-	-	48800 nt	68	-	bacteria	01/31/2014	02/26/2014	
Streptococcus phage 5093	NC_012753	-	-	37184 nt	48	-	bacteria	06/02/2009	07/20/2012	
Streptococcus phage A25	NC_028697	-	-	33900 nt	46	-	bacteria	12/17/2015	12/17/2015	
Streptococcus phage APCM01	NC_029030	-	-	31075 nt	37	-	bacteria	01/05/2016	01/05/2016	
Streptococcus phage Cp-1	NC_001825	-	-	19343 nt	25	1	bacteria	01/18/1995	02/10/2015	
Streptococcus phage DCC1738	NC_024361	-	-	38392 nt	56	-	bacteria	05/29/2014	11/06/2014	
Streptococcus phage Dp-1	NC_015274	-	-	56506 nt	72	-	bacteria	03/29/2011	07/26/2016	
Streptococcus phage EJ-1	NC_005294	-	-	42935 nt	73	-	bacteria	12/02/2003	12/20/2007	
Streptococcus phage IC1	NC_024370	-	-	39965 nt	49	-	bacteria	05/29/2014	11/06/2014	
Streptococcus phage K13	NC_024357	-	-	39360 nt	53	-	bacteria	05/29/2014	11/06/2014	
Streptococcus phage M102	NC_012884	-	-	31147 nt	41	-	bacteria	07/30/2007	02/04/2011	
Streptococcus phage M102AD	NC_028984	-	-	30664 nt	40	-	bacteria	01/05/2016	01/06/2016	
Streptococcus phage MM1	NC_003050	-	-	40248 nt	53	1	bacteria	08/01/2001	07/27/2016	
Streptococcus phage P9	NC_009819	-	-	40539 nt	53	-	bacteria	09/18/2007	04/17/2009	
Streptococcus phage PH10	NC_012756	-	-	31276 nt	54	-	bacteria	06/02/2009	02/04/2011	
Streptococcus phage PH15	NC_010945	strain:PH15	-	39136 nt	60	-	bacteria	06/09/2008	10/15/2008	
Streptococcus phage SM1	NC_004996	-	-	34692 nt	56	-	bacteria	07/08/2003	05/06/2009	
Streptococcus phage SMP	NC_008721	isolate:SMP	-	36019 nt	48	-	bacteria	12/27/2006	07/03/2012	
Streptococcus phage SPQS1	NC_021868	-	-	58305 nt	104	-	bacteria	07/03/2013	07/23/2013	
Streptococcus phage SpSL1	NC_027396	-	-	33756 nt	50	-	bacteria	06/24/2015	06/24/2015	
Streptococcus phage Str-PAP-1	NC_028666	-	-	36595 nt	57	-	bacteria	12/17/2015	12/17/2015	
Streptococcus phage T12	NC_028700	-	-	37976 nt	65	-	bacteria	12/17/2015	12/17/2015	
Streptococcus phage TP-778L	NC_022776	isolate:TP-778L	-	41757 nt	52	-	bacteria	10/31/2013	11/07/2013	
Streptococcus phage TP-J34	NC_020197	strain:TP-J34	-	45606 nt	60	-	bacteria	01/07/2013	01/31/2013	
Streptococcus phage YMC-2011	-	-	2	81516 nt	110	-	bacteria	08/04/2012	02/04/2014	
          Streptococcus phage YMC-2011     (40758 nt)     NC_018285     proteins: 55
          Streptococcus phage YMC-2011     (40758 nt)     NC_018285     proteins: 55
Streptococcus phage phi3396	NC_009018	-	-	38528 nt	64	-	bacteria	02/20/2007	03/26/2007	
Streptococcus phage phiARI0004	NC_031920	-	-	41105 nt	48	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0031	NC_031910	-	-	41887 nt	51	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0131-1	NC_031901	-	-	42927 nt	53	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0131-2	NC_031941	-	-	34563 nt	37	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0460-1	NC_031913	-	-	41807 nt	51	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0462	NC_031942	-	-	40498 nt	51	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0468-1	NC_031929	-	-	41063 nt	48	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0468-2	NC_031923	-	-	42186 nt	49	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0468-4	NC_031915	-	-	37395 nt	49	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0746	NC_031907	-	-	33181 nt	42	-	bacteria	11/15/2016	11/15/2016	
Streptococcus phage phiARI0923	NC_030946	-	-	33477 nt	35	-	bacteria	09/19/2016	09/19/2016	
Streptococcus phage phiBHN167	NC_022791	-	-	37375 nt	49	-	bacteria	10/11/2013	11/12/2013	
Streptococcus phage phiNJ2	NC_019418	-	-	37282 nt	55	-	bacteria	11/13/2012	07/10/2013	
Streptococcus virus 2972	NC_007019	-	-	34704 nt	44	-	bacteria	05/21/2005	05/24/2007	
Streptococcus virus 7201	NC_002185	-	-	35466 nt	46	-	bacteria	03/17/2000	02/14/2015	
Streptococcus virus 858	NC_010353	-	-	35543 nt	46	-	bacteria	02/21/2008	02/22/2008	
Streptococcus virus 9871	NC_031069	-	-	32729 nt	49	-	bacteria	09/23/2016	09/23/2016	
Streptococcus virus 9872	NC_031094	-	-	33105 nt	49	-	bacteria	09/23/2016	09/23/2016	
Streptococcus virus 9874	NC_031023	-	-	32649 nt	48	-	bacteria	09/23/2016	09/23/2016	
Streptococcus virus ALQ132	NC_013598	-	-	35525 nt	44	-	bacteria	12/11/2009	01/07/2010	
Streptococcus virus C1	NC_004814	-	-	16687 nt	20	-	bacteria	05/24/2003	04/17/2009	
Streptococcus virus DT1	NC_002072	strain:DT1	-	34815 nt	45	-	bacteria	03/29/1999	02/10/2015	
Streptococcus virus O1205	NC_004303	strain:CNRZ1205	-	43075 nt	57	-	bacteria	09/30/1997	05/06/2009	
Streptococcus virus Sfi11	NC_002214	-	-	39807 nt	51	-	bacteria	05/01/2000	07/26/2016	
Streptococcus virus Sfi19	NC_000871	-	-	37370 nt	45	-	bacteria	07/18/1999	02/10/2015	
Streptococcus virus Sfi21	NC_000872	-	-	40739 nt	50	-	bacteria	07/18/1999	02/10/2015	
Streptococcus virus phiAbc2	NC_013645	-	-	34882 nt	48	-	bacteria	12/18/2009	01/07/2010	
Streptomyce phage TG1	NC_018853	-	-	40474 nt	54	-	bacteria	10/15/2012	11/01/2012	
Streptomyces phage Amela	NC_028904	-	-	49452 nt	75	1	bacteria	01/05/2016	03/01/2016	
Streptomyces phage Caliburn	NC_028892	-	-	49949 nt	72	-	bacteria	01/05/2016	01/05/2016	
Streptomyces phage Izzy	NC_028976	-	-	50113 nt	75	-	bacteria	01/05/2016	01/05/2016	
Streptomyces phage Jay2Jay	NC_029098	-	-	133531 nt	235	-	bacteria	02/05/2016	02/05/2016	
Streptomyces phage Lannister	NC_028827	-	-	50165 nt	73	-	bacteria	01/05/2016	01/05/2016	
Streptomyces phage Lika	NC_021298	-	-	51252 nt	75	-	bacteria	05/31/2013	11/06/2013	
Streptomyces phage Nanodon	NC_031078	-	-	50082 nt	75	-	bacteria	09/23/2016	09/23/2016	
Streptomyces phage R4	NC_019414	-	-	51071 nt	86	-	bacteria	11/13/2012	11/13/2012	
Streptomyces phage SF1	NC_028807	-	-	43150 nt	52	-	bacteria	01/05/2016	01/05/2016	
Streptomyces phage SF3	NC_028952	-	-	60934 nt	90	-	bacteria	01/05/2016	01/05/2016	
Streptomyces phage SV1	NC_018848	-	-	37612 nt	55	-	bacteria	10/15/2012	11/01/2012	
Streptomyces phage Sujidade	NC_021304	-	-	51552 nt	77	-	bacteria	05/31/2013	11/06/2013	
Streptomyces phage TP1604	NC_028818	-	-	57168 nt	71	-	bacteria	01/05/2016	01/05/2016	
Streptomyces phage VWB	NC_005345	-	-	49220 nt	61	-	bacteria	01/21/2004	01/09/2009	
Streptomyces phage YDN12	NC_028974	-	-	56528 nt	70	-	bacteria	01/05/2016	01/05/2016	
Streptomyces phage Zemlya	NC_021339	-	-	51077 nt	76	-	bacteria	06/03/2013	11/06/2013	
Streptomyces phage mu1/6	NC_007967	-	-	38194 nt	52	-	bacteria	04/20/2006	12/22/2010	
Streptomyces phage phiHau3	NC_018836	-	-	50255 nt	72	-	bacteria	10/15/2012	11/01/2012	
Streptomyces phage phiSAJS1	NC_029005	-	-	56445 nt	72	-	bacteria	01/05/2016	01/05/2016	
Streptomyces phage phiSASD1	NC_014229	-	-	37068 nt	43	-	bacteria	06/09/2010	06/09/2010	
Streptomyces virus phiBT1	NC_004664	-	-	41831 nt	55	-	bacteria	03/25/2003	12/19/2007	
Streptomyces virus phiC31	NC_001978	strain:Norwich stock	-	41491 nt	53	-	bacteria	11/30/1998	10/19/2015	
Stx2-converting phage 1717	NC_011357	-	-	62147 nt	77	-	bacteria	10/15/2008	03/26/2010	
Stx2-converting phage 86	NC_008464	-	-	60238 nt	81	-	bacteria	10/16/2006	04/17/2009	
Sulfitobacter phage EE36phi1	NC_012696	strain:EE36P1	-	73325 nt	79	-	bacteria	05/15/2009	03/26/2010	
Sulfitobacter phage NYA-2014a	NC_027299	-	-	42092 nt	71	-	bacteria	06/24/2015	06/24/2015	
Sulfitobacter phage pCB2047-A	NC_020858	strain:pCB2047-A	-	40929 nt	72	-	bacteria	03/30/2013	07/08/2014	
Sulfitobacter phage pCB2047-C	NC_020856	strain:pCB2047-C	-	40931 nt	73	-	bacteria	03/30/2013	07/08/2014	
Sulfitobacter phage phiCB2047-B	NC_020862	strain:phiCB2047-B	-	74485 nt	75	-	bacteria	03/30/2013	08/06/2014	
Synechococcus phage ACG-2014b	NC_027130	isolate:Syn7803C100	-	172688 nt	217	17	bacteria	06/02/2015	06/02/2015	
Synechococcus phage ACG-2014c	NC_019444	-	-	176043 nt	225	5	bacteria	11/16/2012	11/06/2014	
Synechococcus phage ACG-2014d	NC_026923	isolate:Syn7803C102	-	179110 nt	218	44	bacteria	04/28/2015	04/28/2015	
Synechococcus phage ACG-2014e	NC_026928	isolate:Syn7803C2	-	189418 nt	213	2	bacteria	04/28/2015	04/28/2015	
Synechococcus phage ACG-2014f	NC_026927	isolate:Syn7803C90	-	228143 nt	292	40	bacteria	04/28/2015	04/28/2015	
Synechococcus phage ACG-2014g	NC_026924	isolate:Syn7803US105	-	174885 nt	216	-	bacteria	04/28/2015	04/28/2015	
Synechococcus phage ACG-2014h	NC_023587	-	-	189311 nt	221	-	bacteria	03/04/2014	09/09/2014	
Synechococcus phage ACG-2014i	NC_027132	isolate:Syn7803US120	-	190768 nt	212	-	bacteria	06/02/2015	06/02/2015	
Synechococcus phage ACG-2014j	NC_026926	isolate:Syn7803US103	-	192108 nt	230	1	bacteria	04/28/2015	04/28/2015	
Synechococcus phage S-CAM1	NC_020837	strain:S-CAM1	-	198013 nt	231	5	bacteria	03/30/2013	03/30/2013	
Synechococcus phage S-CAM22	NC_031903	isolate:1209TA19	-	172345 nt	214	-	bacteria	11/15/2016	11/15/2016	
Synechococcus phage S-CAM3	NC_031906	isolate:1010CC42	-	198190 nt	240	-	bacteria	11/15/2016	11/15/2016	
Synechococcus phage S-CAM4	NC_031900	isolate:0809SB33	-	191983 nt	238	-	bacteria	11/15/2016	11/15/2016	
Synechococcus phage S-CAM7	NC_031927	isolate:0910CC49	-	216121 nt	266	-	bacteria	11/15/2016	11/15/2016	
Synechococcus phage S-CAM8	NC_021530	strain:S-CAM8 06008BI06	-	171407 nt	204	1	bacteria	06/20/2013	04/16/2014	
Synechococcus phage S-CAM9	NC_031922	isolate:1109NB16	-	174830 nt	229	-	bacteria	11/15/2016	11/15/2016	
Synechococcus phage S-CBP1	NC_025456	-	-	46547 nt	50	-	bacteria	11/10/2014	12/03/2015	
Synechococcus phage S-CBP2	NC_025455	-	-	46237 nt	53	-	bacteria	11/10/2014	12/03/2015	
Synechococcus phage S-CBP3	NC_025461	-	-	45871 nt	53	-	bacteria	11/10/2014	12/03/2015	
Synechococcus phage S-CBP4	NC_025464	-	-	44147 nt	46	-	bacteria	11/10/2014	12/03/2015	
Synechococcus phage S-CBP42	NC_029031	-	-	45218 nt	51	-	bacteria	01/05/2016	01/05/2016	
Synechococcus phage S-CBS1	NC_016164	-	-	30332 nt	43	-	bacteria	11/10/2011	02/09/2012	
Synechococcus phage S-CBS2	NC_015463	strain:S-CBS2	-	72332 nt	102	-	bacteria	04/28/2011	02/09/2012	
Synechococcus phage S-CBS3	NC_015465	strain:S-CBS3	-	33004 nt	46	-	bacteria	04/28/2011	02/09/2012	
Synechococcus phage S-CBS4	NC_016766	-	-	69420 nt	105	-	bacteria	02/02/2012	02/09/2012	
Synechococcus phage S-CRM01	NC_015569	-	-	178563 nt	297	-	bacteria	05/23/2011	07/20/2011	
Synechococcus phage S-IOM18	NC_021536	strain:S-IOM18	-	171797 nt	209	-	bacteria	06/20/2013	07/07/2013	
Synechococcus phage S-MbCM100	NC_023584	-	-	170438 nt	210	24	bacteria	03/04/2014	02/16/2017	
Synechococcus phage S-PM2	NC_006820	-	-	196280 nt	244	1	bacteria	01/29/2005	10/07/2016	
Synechococcus phage S-RIM2 R1_1999	NC_020859	strain:RIM2_R1_999	-	175430 nt	210	60	bacteria	03/30/2013	04/16/2014	
Synechococcus phage S-RIM8 A.HR1	NC_020486	strain:S-RIM8 A.HR1	-	171211 nt	211	9	bacteria	03/12/2013	03/12/2013	
Synechococcus phage S-RIP1	NC_020867	-	-	44892 nt	55	-	bacteria	03/30/2013	03/30/2013	
Synechococcus phage S-RIP2	NC_020838	-	-	45728 nt	54	-	bacteria	03/30/2013	03/30/2013	
Synechococcus phage S-RSM4	NC_013085	-	-	194454 nt	237	-	bacteria	08/10/2009	02/04/2011	
Synechococcus phage S-SKS1	NC_020851	-	-	208007 nt	281	-	bacteria	03/30/2013	03/30/2013	
Synechococcus phage S-SM1	NC_015282	strain:6501-1	-	174079 nt	234	-	bacteria	03/24/2011	07/17/2012	
Synechococcus phage S-SM2	NC_015279	strain:8017-1	-	190789 nt	267	-	bacteria	03/24/2011	07/17/2012	
Synechococcus phage S-SSM4	NC_020875	strain:S-SSM4	-	182801 nt	220	1	bacteria	03/30/2013	03/30/2013	
Synechococcus phage S-SSM5	NC_015289	strain:8102-12	-	176184 nt	225	-	bacteria	03/24/2011	07/17/2012	
Synechococcus phage S-SSM7	NC_015287	strain:8109-3	-	232878 nt	319	1	bacteria	03/24/2011	07/17/2012	
Synechococcus phage S-ShM2	NC_015281	strain:8102-4	-	179563 nt	230	1	bacteria	03/24/2011	07/17/2012	
Synechococcus phage S-WAM1	NC_031944	isolate:0810PA09	-	185102 nt	221	-	bacteria	11/15/2016	11/15/2016	
Synechococcus phage S-WAM2	NC_031935	isolate:0810PA29	-	186386 nt	229	-	bacteria	11/15/2016	11/15/2016	
Synechococcus phage Syn19	NC_015286	strain:Syn19	-	175230 nt	215	1	bacteria	03/24/2011	07/17/2012	
Synechococcus phage metaG-MbCM1	NC_019443	-	-	172879 nt	234	-	bacteria	11/16/2012	01/07/2015	
Synechococcus phage syn9	NC_008296	-	-	177300 nt	226	1	bacteria	08/25/2006	03/26/2010	
Synechococcus virus P60	NC_003390	-	-	46675 nt	55	-	bacteria	02/02/2002	10/05/2017	
Synechococcus virus Syn5	NC_009531	-	-	46214 nt	61	-	bacteria	06/07/2007	04/17/2009	
Temperate phage phiNIH1.1	NC_003157	-	-	43106 nt	56	-	bacteria	10/07/2001	10/05/2017	
Tetraselmis viridis virus S1	NC_020869	strain:S1	-	26407 nt	24	-	bacteria	03/30/2013	03/30/2013	
Tetrasphaera phage TJE1	NC_019930	-	-	49219 nt	66	-	bacteria	12/19/2012	12/19/2012	
Thalassomonas phage BA3	NC_009990	-	-	37313 nt	47	-	bacteria	11/20/2007	03/26/2010	
Thermoanaerobacterium phage THSA-485A	-	culture-collection:DSM:8691	2	83876 nt	114	-	bacteria	07/27/2012	08/27/2014	
          Thermoanaerobacterium phage THSA-485A     (41938 nt)     NC_018264     proteins: 57
          Thermoanaerobacterium phage THSA-485A     (41938 nt)     NC_018264     proteins: 57
Thermus phage TMA	NC_015937	strain:TMA	-	151483 nt	168	-	bacteria	08/19/2011	07/23/2012	
Thermus phage phi OH2	NC_021784	-	-	38099 nt	60	-	bacteria	07/23/2013	09/13/2013	
Thermus phage phiYS40	NC_008584	-	-	152372 nt	170	1	bacteria	11/21/2006	03/26/2010	
Thermus virus IN93	NC_004462	-	-	19604 nt	39	-	bacteria	12/27/2002	01/13/2016	
Thermus virus P23-45	NC_009803	-	-	84201 nt	117	-	bacteria	09/14/2007	04/17/2009	
Thermus virus P23-77	NC_013197	-	-	17036 nt	37	-	bacteria	09/02/2009	04/30/2012	
Thermus virus P74-26	NC_009804	-	-	83319 nt	116	-	bacteria	09/14/2007	04/17/2009	
Tsukamurella phage TIN2	NC_028865	-	-	76964 nt	107	-	bacteria	01/05/2016	01/05/2016	
Tsukamurella phage TIN3	NC_028966	-	-	76269 nt	109	-	bacteria	01/05/2016	01/05/2016	
Tsukamurella phage TPA2	NC_015210	-	-	61440 nt	78	-	bacteria	03/18/2011	03/19/2011	
Tsukamurella phage TPA4	NC_030916	-	-	56212 nt	84	-	bacteria	09/19/2016	09/19/2016	
Uncultured phage WW-nAnB strain 2	NC_026612	-	-	5077 nt	8	-	bacteria	03/04/2015	03/04/2015	
Uncultured phage WW-nAnB strain 3	NC_026613	-	-	5210 nt	8	-	bacteria	03/04/2015	03/04/2015	
Verrucomicrobia phage P8625	NC_029047	-	-	32894 nt	52	-	bacteria	01/23/2016	01/23/2016	
Vibrio phage 11895-B1	NC_020843	strain:11895-B1	-	126434 nt	196	-	bacteria	03/30/2013	03/30/2013	
Vibrio phage CHOED	NC_023863	-	-	66316 nt	91	-	bacteria	03/31/2014	06/18/2014	
Vibrio phage CP-T1	NC_019457	isolate:HER373	-	44492 nt	70	1	bacteria	11/16/2012	11/16/2012	
Vibrio phage ICP1	NC_015157	-	-	125956 nt	230	7	bacteria	03/03/2011	07/06/2011	
Vibrio phage ICP2	NC_015158	-	-	49675 nt	72	2	bacteria	03/03/2011	07/06/2011	
Vibrio phage ICP2_2013_A_Haiti	NC_024791	-	-	50440 nt	57	-	bacteria	09/09/2014	09/09/2014	
Vibrio phage ICP3	NC_015159	-	-	39162 nt	54	3	bacteria	03/03/2011	07/06/2011	
Vibrio phage J2	NC_027393	-	-	39530 nt	48	5	bacteria	06/24/2015	06/24/2015	
Vibrio phage JA-1	NC_021540	-	-	69278 nt	79	1	bacteria	06/20/2013	07/15/2013	
Vibrio phage KSF1	NC_006294	-	-	7107 nt	12	-	bacteria	09/17/2004	04/17/2009	
Vibrio phage KVP40	NC_005083	-	-	244834 nt	381	1	bacteria	09/03/2003	03/26/2010	
Vibrio phage N4	NC_013651	-	-	38497 nt	47	-	bacteria	12/18/2009	05/17/2012	
Vibrio phage PV94	NC_027368	-	-	33828 nt	-	-	bacteria	04/17/2014	06/24/2015	
Vibrio phage PVA1	NC_023605	-	-	41529 nt	21	-	bacteria	03/04/2014	03/04/2014	
Vibrio phage PWH3a-P1	NC_020863	strain:PWH3a-P1	-	129155 nt	209	-	bacteria	03/30/2013	03/30/2013	
Vibrio phage QH	NC_027397	-	-	39725 nt	48	-	bacteria	06/24/2015	06/24/2015	
Vibrio phage SHOU24	NC_023569	-	-	77837 nt	96	-	bacteria	03/04/2014	11/05/2014	
Vibrio phage SIO-2	NC_016567	strain:SIO-2	-	81184 nt	115	-	bacteria	01/06/2012	07/23/2012	
Vibrio phage VBM1	NC_020850	strain:VBM1	-	38374 nt	56	-	bacteria	03/30/2013	03/30/2013	
Vibrio phage VBP32	NC_020868	strain:VBP32	-	76718 nt	115	-	bacteria	03/30/2013	03/30/2013	
Vibrio phage VBP47	NC_020848	strain:VBP47	-	76705 nt	115	-	bacteria	03/30/2013	03/30/2013	
Vibrio phage VCY-phi	NC_016162	-	-	7103 nt	11	-	bacteria	11/29/2011	11/29/2011	
Vibrio phage VEJphi	NC_012757	-	-	6842 nt	11	1	bacteria	06/03/2009	03/26/2010	
Vibrio phage VFJ	NC_021562	-	-	8555 nt	12	-	bacteria	06/24/2013	03/24/2016	
Vibrio phage VGJphi	NC_004736	-	-	7542 nt	13	-	bacteria	04/22/2003	05/06/2009	
Vibrio phage VH7D	NC_023568	-	-	246964 nt	327	2	bacteria	03/02/2014	03/02/2014	
Vibrio phage VHML	NC_004456	-	-	43198 nt	57	-	bacteria	12/20/2002	03/26/2010	
Vibrio phage VP2	NC_005879	-	-	39853 nt	47	-	bacteria	06/14/2004	03/10/2011	
Vibrio phage VP5	NC_005891	-	-	39786 nt	48	-	bacteria	06/14/2004	03/10/2011	
Vibrio phage VP585	NC_027981	-	-	42612 nt	58	-	bacteria	03/26/2010	10/07/2015	
Vibrio phage VP93	NC_012662	-	-	43931 nt	44	-	bacteria	05/08/2009	04/23/2010	
Vibrio phage VPMS1	NC_021776	-	-	42313 nt	53	-	bacteria	07/22/2013	01/03/2017	
Vibrio phage VPUSM 8	NC_022747	-	-	34145 nt	43	-	bacteria	11/06/2013	11/06/2013	
Vibrio phage VSK	NC_003327	-	-	6882 nt	14	1	bacteria	12/20/2001	04/17/2009	
Vibrio phage ValKK3	NC_028829	-	-	248088 nt	390	-	bacteria	01/05/2016	05/04/2016	
Vibrio phage VfO3K6	NC_002362	-	-	8784 nt	10	-	bacteria	06/03/2000	04/17/2009	
Vibrio phage VfO4K68	NC_002363	-	-	6891 nt	8	-	bacteria	06/18/2000	04/17/2009	
Vibrio phage VpKK5	NC_026610	-	-	56637 nt	80	-	bacteria	03/04/2015	10/04/2017	
Vibrio phage VvAW1	NC_020488	-	-	38682 nt	40	-	bacteria	03/12/2013	03/12/2013	
Vibrio phage X29	NC_024369	-	-	41569 nt	67	1	bacteria	06/24/2014	01/07/2015	
Vibrio phage douglas 12A4	NC_021068	strain:douglas 12A4	-	57611 nt	75	-	bacteria	04/19/2013	04/19/2013	
Vibrio phage eugene 12A10	NC_029067	strain:eugene 12A10	-	138234 nt	251	-	bacteria	02/05/2016	02/05/2016	
Vibrio phage fs2	NC_001956	-	-	8651 nt	9	-	bacteria	10/06/1998	02/10/2015	
Vibrio phage helene 12B3	NC_021067	strain:helene 12B3	-	135982 nt	263	-	bacteria	04/19/2013	04/19/2013	
Vibrio phage henriette 12B8	NC_021073	strain:henriette 12B8	-	107218 nt	154	-	bacteria	04/19/2013	04/19/2013	
Vibrio phage martha 12B12	NC_021070	strain:martha 12B12	-	33277 nt	51	-	bacteria	04/19/2013	04/19/2013	
Vibrio phage nt-1	NC_021529	-	-	247511 nt	405	-	bacteria	06/20/2013	10/05/2017	
Vibrio phage pVp-1	NC_019529	-	-	111506 nt	157	-	bacteria	11/21/2012	11/21/2012	
Vibrio phage pYD21-A	NC_020846	strain:pYD21-A	-	46917 nt	74	-	bacteria	03/30/2013	03/30/2013	
Vibrio phage pYD38-A	NC_021534	strain:pYD38; isolate:pYD38-A	-	47552 nt	77	-	bacteria	06/20/2013	07/07/2013	
Vibrio phage pYD38-B	NC_021561	strain:pYD38; isolate:pYD38-B	-	37324 nt	57	-	bacteria	06/21/2013	07/14/2013	
Vibrio phage phi 1	NC_028799	-	-	66708 nt	110	-	bacteria	01/05/2016	01/05/2016	
Vibrio phage phi 3	NC_028895	-	-	116138 nt	156	-	bacteria	01/05/2016	01/05/2016	
Vibrio phage phi-A318	NC_025822	-	-	42544 nt	46	1	bacteria	12/09/2014	12/09/2014	
